clintwash_o,vahosp_o,hwy6hard_o,5st10av_o,9st21av_o

Block: 2-----------------------
--,--,--,--,06:28:00
07:10:00,07:16:00,07:21:00,07:24:00,07:28:00
08:10:00,08:16:00,08:21:00,08:24:00,08:28:00

Block: 5-----------------------
--,--,--,--,05:58:00
06:40:00,06:46:00,06:51:00,06:54:00,06:58:00
07:40:00,07:46:00,07:51:00,07:54:00,07:58:00
08:40:00,08:46:00,08:51:00,08:54:00,08:58:00

Block: 11-----------------------
09:30:00,09:36:00,09:41:00,09:44:00,09:48:00
10:30:00,10:36:00,10:41:00,10:44:00,10:48:00
11:30:00,11:36:00,11:41:00,11:44:00,11:48:00

Block: 12-----------------------
12:30:00,12:36:00,12:41:00,12:44:00,12:48:00
13:30:00,13:36:00,13:41:00,13:44:00,13:48:00
14:30:00,14:36:00,14:41:00,14:44:00,14:48:00

Block: 13-----------------------
15:40:00,15:46:00,15:51:00,15:54:00,15:58:00
16:40:00,16:46:00,16:51:00,16:54:00,16:58:00
17:40:00,17:46:00,17:51:00,17:54:00,17:58:00

Block: 33-----------------------
15:10:00,15:16:00,15:21:00,15:24:00,15:28:00
16:10:00,16:16:00,16:21:00,16:24:00,16:28:00
17:10:00,17:16:00,17:21:00,17:24:00,17:28:00
