scotelgn_i,roch1st_i,mercyhosp_i,downint_a

Block: 20-----------------------
11:20:00,11:24:00,11:28:00,11:32:00
13:35:00,13:39:00,13:43:00,13:47:00
15:35:00,15:39:00,15:43:00,15:47:00
17:35:00,17:39:00,17:43:00,17:47:00

Block: 29-----------------------
12:35:00,12:39:00,12:43:00,12:47:00
14:35:00,14:39:00,14:43:00,14:47:00
16:35:00,16:39:00,16:43:00,16:47:00
18:35:00,18:39:00,18:43:00,18:47:00

Block: 40-----------------------
07:20:00,07:24:00,07:28:00,07:32:00
09:20:00,09:24:00,09:28:00,09:32:00

Block: 49-----------------------
06:20:00,06:24:00,06:28:00,06:32:00
08:20:00,08:24:00,08:28:00,08:32:00
10:20:00,10:24:00,10:28:00,10:32:00
