denbsuns_i,westmelr_i,uimain_i,merf_i,downinte_a

Block: 1-----------------------
06:53:00,06:57:00,07:02:00,07:06:00,07:11:00
08:53:00,08:57:00,09:02:00,09:06:00,09:11:00
10:53:00,10:57:00,11:02:00,11:06:00,11:11:00
12:53:00,12:57:00,13:02:00,13:06:00,13:11:00

Block: 2-----------------------
07:53:00,07:57:00,08:02:00,08:06:00,08:11:00
09:53:00,09:57:00,10:02:00,10:06:00,10:11:00
11:53:00,11:57:00,12:02:00,12:06:00,12:11:00
13:53:00,13:57:00,14:02:00,14:06:00,14:11:00

Block: 32-----------------------
15:53:00,15:57:00,16:02:00,16:06:00,16:11:00
17:53:00,17:57:00,18:02:00,18:06:00,18:11:00

Block: 51-----------------------
07:23:00,07:27:00,07:32:00,07:36:00,07:41:00
15:23:00,15:27:00,15:32:00,15:36:00,15:41:00
17:23:00,17:27:00,17:32:00,17:36:00,17:41:00

Block: 52-----------------------
06:23:00,06:27:00,06:32:00,06:36:00,06:41:00
08:23:00,08:27:00,08:32:00,08:36:00,08:41:00
16:23:00,16:27:00,16:32:00,16:36:00,16:41:00
18:23:00,18:27:00,18:32:00,18:36:00,18:41:00

Block: 61-----------------------
14:53:00,14:57:00,15:02:00,15:06:00,15:11:00
16:53:00,16:57:00,17:02:00,17:06:00,17:11:00
