studhlth_c,vahosp_c,shosp_c,pmedhawk_c,hawkdr1_c,hawklot1_c,hawkct2_c

Block: 361-----------------------
11:59:00,12:01:00,12:06:00,--,12:14:00,12:16:00,12:19:00
12:29:00,12:31:00,12:36:00,--,12:44:00,12:46:00,12:49:00
12:59:00,13:01:00,13:06:00,--,13:14:00,13:16:00,13:19:00
13:29:00,13:31:00,13:36:00,--,13:44:00,13:46:00,13:49:00
13:59:00,14:01:00,14:06:00,--,14:14:00,14:16:00,14:19:00
14:29:00,14:31:00,14:36:00,--,14:44:00,14:46:00,14:49:00
14:59:00,15:01:00,15:06:00,--,15:14:00,15:16:00,15:19:00
15:29:00,15:31:00,15:36:00,--,15:44:00,15:46:00,15:49:00
15:59:00,16:01:00,16:06:00,--,16:14:00,16:16:00,16:19:00
16:29:00,16:31:00,16:36:00,16:44:00,--,16:46:00,16:49:00
16:59:00,17:01:00,17:06:00,17:14:00,--,17:16:00,17:19:00
17:30:00,17:32:00,17:38:00,17:44:00,--,17:46:00,17:49:00
18:00:00,18:02:00,18:08:00,18:14:00,--,18:18:00,18:21:00
18:32:00,18:34:00,18:40:00,18:46:00,--,18:48:00,18:51:00
19:02:00,19:04:00,19:10:00,19:16:00,--,19:18:00,19:21:00
19:32:00,19:34:00,19:40:00,19:46:00,--,19:48:00,19:51:00

Block: 363-----------------------
16:06:00,16:09:00,16:13:00,--,16:21:00,16:23:00,16:26:00
16:36:00,16:40:00,16:45:00,16:51:00,--,16:53:00,16:56:00
17:06:00,17:10:00,17:15:00,17:21:00,--,17:23:00,17:26:00
17:37:00,17:40:00,17:45:00,17:51:00,--,17:53:00,17:56:00
