schfhall,hanchnor,riverst,mainlib,schfhall_a

Block: 183-----------------------
08:15:00,08:24:00,08:25:00,08:30:00,--
08:35:00,08:44:00,08:45:00,08:50:00,--
08:55:00,09:04:00,09:05:00,09:10:00,--
09:15:00,09:24:00,09:25:00,09:30:00,--
09:35:00,09:44:00,09:45:00,09:50:00,--
09:55:00,10:04:00,10:05:00,10:10:00,--
10:15:00,10:24:00,10:25:00,10:30:00,--
10:35:00,10:44:00,10:45:00,10:50:00,--
10:55:00,11:04:00,11:05:00,11:10:00,--
11:15:00,11:24:00,11:25:00,11:30:00,--
11:35:00,11:44:00,11:45:00,11:50:00,--
11:55:00,12:04:00,12:05:00,12:10:00,--
12:15:00,12:24:00,12:25:00,12:30:00,--
12:35:00,12:44:00,12:45:00,12:50:00,--
12:55:00,13:04:00,13:05:00,13:10:00,--
13:15:00,13:24:00,13:25:00,13:30:00,--
13:35:00,13:44:00,13:45:00,13:50:00,--
13:55:00,14:04:00,14:05:00,14:10:00,--
14:15:00,14:24:00,14:25:00,14:30:00,--
14:35:00,14:44:00,14:45:00,14:50:00,--
14:55:00,15:04:00,15:05:00,15:10:00,--
15:15:00,15:24:00,15:25:00,15:30:00,15:35:00
