finks_p,arnae_am,valoop_p

Block: 331-----------------------
06:39:00,06:42:00,06:46:00
07:09:00,07:12:00,07:16:00
07:39:00,07:42:00,07:46:00
08:09:00,08:12:00,08:16:00
08:39:00,08:42:00,08:46:00
09:09:00,09:12:00,09:16:00
09:39:00,09:42:00,09:46:00
10:09:00,10:12:00,10:16:00
10:39:00,10:42:00,10:46:00
11:09:00,11:12:00,11:16:00
11:39:00,11:42:00,11:46:00
12:09:00,--,12:16:00
12:39:00,--,12:46:00
13:09:00,--,13:16:00
13:39:00,--,13:46:00
14:09:00,--,14:16:00
14:39:00,--,14:46:00
15:09:00,--,15:16:00
15:39:00,--,15:46:00
16:09:00,--,16:16:00
16:39:00,--,16:46:00
17:09:00,--,17:16:00
17:39:00,--,17:46:00
18:09:00,--,18:16:00
18:39:00,--,--

Block: 332-----------------------
06:54:00,06:57:00,07:01:00
07:24:00,07:27:00,07:31:00
07:54:00,07:57:00,08:01:00
08:24:00,08:27:00,08:31:00
08:54:00,08:57:00,09:01:00
09:24:00,09:27:00,09:31:00
09:54:00,09:57:00,10:01:00
10:24:00,10:27:00,10:31:00
10:54:00,10:57:00,11:01:00
11:24:00,11:27:00,11:31:00
11:54:00,11:57:00,12:01:00
12:24:00,--,12:31:00
12:54:00,--,13:01:00
13:24:00,--,13:31:00
13:54:00,--,14:01:00
14:24:00,--,14:31:00
14:54:00,--,15:01:00
15:24:00,--,15:31:00
15:54:00,--,16:01:00
16:24:00,--,16:31:00
16:54:00,--,17:01:00
17:24:00,--,17:31:00
17:54:00,--,18:01:00
18:24:00,--,18:31:00
18:54:00,--,--
