hnzhwy6_i,sycmlth_i,kirksum_i,dodgbow_i,downinteb_a

Block: 33-----------------------
19:38:00,19:43:00,19:48:00,19:51:00,19:55:00
21:38:00,21:43:00,21:48:00,21:51:00,21:55:00

Block: 34-----------------------
20:38:00,20:43:00,20:48:00,20:51:00,20:55:00

Block: 75-----------------------
22:53:00,22:58:00,23:03:00,23:06:00,23:10:00

Block: 103-----------------------
07:38:00,07:43:00,07:48:00,07:51:00,07:55:00
09:38:00,09:43:00,09:48:00,09:51:00,09:55:00
11:38:00,11:43:00,11:48:00,11:51:00,11:55:00

Block: 104-----------------------
06:38:00,06:43:00,06:48:00,06:51:00,06:55:00
08:38:00,08:43:00,08:48:00,08:51:00,08:55:00
10:38:00,10:43:00,10:48:00,10:51:00,10:55:00
12:38:00,12:43:00,12:48:00,12:51:00,12:55:00

Block: 133-----------------------
13:38:00,13:43:00,13:48:00,13:51:00,13:55:00
15:38:00,15:43:00,15:48:00,15:51:00,15:55:00
17:38:00,17:43:00,17:48:00,17:51:00,17:55:00

Block: 134-----------------------
14:38:00,14:43:00,14:48:00,14:51:00,14:55:00
16:38:00,16:43:00,16:48:00,16:51:00,16:55:00
18:38:00,18:43:00,18:48:00,18:51:00,18:55:00
