downinte_d,newtramp_o,sunsdenb_o,westjeff_o,mormgryn_o,abbeca_o,caemorm_o,waldplaz_o

Block: 6-----------------------
07:15:00,07:20:00,07:27:00,07:30:00,07:32:00,07:36:00,07:37:00,--
09:15:00,09:20:00,09:27:00,09:30:00,09:32:00,09:36:00,09:37:00,09:38:00
11:15:00,11:20:00,11:27:00,11:30:00,11:32:00,11:36:00,11:37:00,11:38:00
13:15:00,13:20:00,13:27:00,13:30:00,13:32:00,13:36:00,13:37:00,13:38:00

Block: 26-----------------------
12:15:00,12:20:00,12:27:00,12:30:00,12:32:00,12:36:00,12:37:00,12:38:00
14:15:00,14:20:00,14:27:00,14:30:00,14:32:00,14:36:00,14:37:00,14:38:00
16:15:00,16:20:00,16:27:00,16:30:00,16:32:00,16:36:00,16:37:00,16:38:00
18:15:00,18:20:00,18:27:00,18:30:00,18:32:00,18:36:00,18:37:00,18:38:00

Block: 46-----------------------
--,--,--,06:30:00,06:32:00,06:36:00,06:37:00,06:38:00
08:15:00,08:20:00,08:27:00,08:30:00,08:32:00,08:36:00,08:37:00,08:38:00
10:15:00,10:20:00,10:27:00,10:30:00,10:32:00,10:36:00,10:37:00,10:38:00

Block: 56-----------------------
07:45:00,07:50:00,07:57:00,08:00:00,08:02:00,08:06:00,08:07:00,08:08:00
14:45:00,14:50:00,14:57:00,15:00:00,15:02:00,15:06:00,15:07:00,15:08:00
16:45:00,16:50:00,16:57:00,17:00:00,17:02:00,17:06:00,17:07:00,17:08:00

Block: 57-----------------------
06:45:00,06:50:00,06:57:00,07:00:00,07:02:00,07:06:00,07:07:00,07:08:00
08:45:00,08:50:00,08:57:00,09:00:00,09:02:00,09:06:00,09:07:00,09:08:00
15:45:00,15:50:00,15:57:00,16:00:00,16:02:00,16:06:00,16:07:00,16:08:00
17:45:00,17:50:00,17:57:00,18:00:00,18:02:00,18:06:00,18:07:00,18:08:00

Block: 66-----------------------
15:15:00,15:20:00,15:27:00,15:30:00,15:32:00,15:36:00,15:37:00,15:38:00
17:15:00,17:20:00,17:27:00,17:30:00,17:32:00,17:36:00,17:37:00,17:38:00
