schfhall_m,machall_m

Block: 143-----------------------
06:58:00,07:01:00
07:18:00,07:21:00
07:38:00,07:41:00
07:58:00,08:01:00
08:18:00,08:21:00
08:38:00,08:41:00
08:58:00,09:01:00
09:18:00,09:21:00
09:38:00,09:41:00
09:58:00,10:01:00
10:18:00,10:21:00
10:38:00,10:41:00
10:58:00,11:01:00
11:18:00,11:21:00
11:38:00,11:41:00
11:58:00,12:01:00
12:18:00,12:21:00
12:38:00,12:41:00
12:58:00,13:01:00
13:18:00,13:21:00
13:38:00,13:41:00
13:58:00,14:01:00
14:18:00,14:21:00
14:38:00,14:41:00
14:58:00,15:01:00
15:18:00,15:21:00
15:38:00,15:41:00
15:58:00,16:01:00
16:18:00,16:21:00
16:38:00,16:41:00
16:58:00,17:01:00
17:18:00,17:21:00
17:38:00,--

Block: 298-----------------------
06:58:00,07:01:00
07:18:00,07:21:00
07:38:00,07:41:00
07:58:00,08:01:00
08:18:00,08:21:00
08:38:00,08:41:00
08:58:00,09:01:00
09:18:00,09:21:00
09:38:00,09:41:00
09:58:00,10:01:00
10:18:00,10:21:00
10:38:00,10:41:00
10:58:00,11:01:00
11:18:00,11:21:00
11:38:00,11:41:00
11:58:00,12:01:00
12:18:00,12:21:00
12:38:00,12:41:00
12:58:00,13:01:00
13:18:00,13:21:00
13:38:00,13:41:00
13:58:00,14:01:00
14:18:00,14:21:00
14:38:00,14:41:00
14:58:00,15:01:00
15:18:00,15:21:00
15:38:00,15:41:00
15:58:00,16:01:00
16:18:00,16:21:00
16:38:00,16:41:00
16:58:00,17:01:00
17:18:00,17:21:00
17:38:00,17:41:00
17:58:00,18:01:00
18:18:00,18:21:00
18:38:00,18:41:00
18:58:00,19:01:00
19:18:00,19:21:00
19:38:00,19:41:00
19:58:00,20:01:00
20:18:00,20:21:00
20:38:00,20:41:00
20:58:00,21:01:00
21:18:00,21:21:00
21:38:00,21:41:00
21:58:00,22:01:00
22:18:00,22:21:00
22:38:00,22:41:00
22:58:00,23:01:00
23:18:00,23:21:00
23:38:00,23:41:00
23:58:00,00:01:00
00:18:00,00:21:00
00:38:00,00:41:00
00:58:00,01:01:00
01:18:00,01:21:00
