machall,schfhall,lodge,studart

Block: 181-----------------------
07:32:00,07:35:00,07:42:00,07:50:00
08:02:00,08:05:00,08:12:00,08:20:00
08:32:00,08:35:00,08:42:00,08:50:00
09:02:00,09:05:00,09:12:00,09:20:00
09:32:00,09:35:00,09:42:00,09:50:00
10:02:00,10:05:00,10:12:00,10:20:00
10:32:00,10:35:00,10:42:00,10:50:00
11:02:00,11:05:00,11:12:00,11:20:00
11:32:00,11:35:00,11:42:00,11:50:00
12:02:00,12:05:00,12:12:00,12:20:00
12:32:00,12:35:00,12:42:00,12:50:00
13:02:00,13:05:00,13:12:00,13:20:00
13:32:00,13:35:00,13:42:00,13:50:00
14:02:00,14:05:00,14:12:00,14:20:00
14:32:00,14:35:00,14:42:00,14:50:00
15:02:00,15:05:00,15:12:00,15:20:00
15:32:00,15:35:00,15:42:00,15:50:00
16:02:00,16:05:00,16:12:00,16:20:00
16:32:00,16:35:00,16:42:00,16:50:00
17:02:00,17:05:00,17:12:00,17:20:00
17:32:00,17:35:00,17:42:00,17:50:00
18:02:00,18:05:00,18:12:00,18:20:00
18:32:00,18:35:00,18:42:00,18:50:00
19:02:00,19:05:00,19:12:00,19:20:00
19:32:00,19:35:00,19:42:00,19:50:00
20:02:00,20:05:00,20:12:00,20:20:00
20:32:00,20:35:00,20:42:00,20:50:00
21:02:00,21:05:00,21:12:00,21:20:00
21:32:00,21:35:00,21:42:00,21:50:00
22:02:00,22:05:00,22:12:00,22:20:00
22:32:00,22:35:00,22:42:00,22:50:00
23:02:00,23:05:00,23:12:00,23:20:00
23:32:00,23:35:00,23:42:00,23:50:00
00:02:00,00:05:00,--,--

Block: 182-----------------------
12:02:00,12:05:00,12:12:00,12:20:00
12:32:00,12:35:00,12:42:00,12:50:00
13:02:00,13:05:00,13:12:00,13:20:00
13:32:00,13:35:00,13:42:00,13:50:00
14:02:00,14:05:00,14:12:00,14:20:00
14:32:00,14:35:00,14:42:00,14:50:00
15:02:00,15:05:00,15:12:00,15:20:00
15:32:00,15:35:00,15:42:00,15:50:00
16:02:00,16:05:00,16:12:00,16:20:00
16:32:00,16:35:00,16:42:00,16:50:00
17:02:00,17:05:00,17:12:00,17:20:00
17:32:00,17:35:00,17:42:00,17:50:00
18:02:00,18:05:00,18:12:00,18:20:00
18:32:00,18:35:00,18:42:00,18:50:00
19:02:00,19:05:00,19:12:00,19:20:00
19:32:00,19:35:00,19:42:00,19:50:00
20:02:00,20:05:00,20:12:00,20:20:00
20:32:00,20:35:00,20:42:00,20:50:00
21:02:00,21:05:00,21:12:00,21:20:00
21:32:00,21:35:00,21:42:00,21:50:00
22:02:00,22:05:00,22:12:00,22:20:00
22:32:00,22:35:00,22:42:00,22:50:00
23:02:00,23:05:00,23:12:00,23:20:00
23:32:00,23:35:00,23:42:00,23:50:00
00:02:00,00:05:00,--,--

Block: 185-----------------------
07:47:00,07:50:00,07:57:00,08:05:00
08:17:00,08:20:00,08:27:00,08:35:00
08:47:00,08:50:00,08:57:00,09:05:00
09:17:00,09:20:00,09:27:00,09:35:00
09:47:00,09:50:00,09:57:00,10:05:00
10:17:00,10:20:00,10:27:00,10:35:00
10:47:00,10:50:00,10:57:00,11:05:00
11:17:00,11:20:00,11:27:00,11:35:00
11:47:00,11:50:00,11:57:00,12:05:00
12:17:00,12:20:00,12:27:00,12:35:00
12:47:00,12:50:00,12:57:00,13:05:00
13:17:00,13:20:00,13:27:00,13:35:00
13:47:00,13:50:00,13:57:00,14:05:00
14:17:00,14:20:00,14:27:00,14:35:00
14:47:00,14:50:00,14:57:00,15:05:00
15:17:00,15:20:00,15:27:00,15:35:00
15:47:00,15:50:00,15:57:00,16:05:00
16:17:00,16:20:00,16:27:00,16:35:00
16:47:00,16:50:00,16:57:00,17:05:00
17:17:00,17:20:00,17:27:00,17:35:00
17:47:00,17:50:00,17:57:00,18:05:00
18:17:00,18:20:00,18:27:00,18:35:00
18:47:00,18:50:00,--,--

Block: 281-----------------------
08:02:00,08:05:00,08:12:00,08:20:00
08:32:00,08:35:00,08:42:00,08:50:00
09:02:00,09:05:00,09:12:00,09:20:00
09:32:00,09:35:00,09:42:00,09:50:00
10:02:00,10:05:00,10:12:00,10:20:00
10:32:00,10:35:00,10:42:00,10:50:00
11:02:00,11:05:00,11:12:00,11:20:00
11:32:00,11:35:00,11:42:00,11:50:00
12:02:00,12:05:00,12:12:00,12:20:00
12:32:00,12:35:00,12:42:00,12:50:00
13:02:00,13:05:00,13:12:00,13:20:00
13:32:00,13:35:00,13:42:00,13:50:00
14:02:00,14:05:00,14:12:00,14:20:00
14:32:00,14:35:00,14:42:00,14:50:00
15:02:00,15:05:00,15:12:00,15:20:00
15:32:00,15:35:00,15:42:00,15:50:00
16:02:00,16:05:00,16:12:00,16:20:00
16:32:00,16:35:00,16:42:00,16:50:00
17:02:00,17:05:00,17:12:00,17:20:00
17:32:00,17:35:00,17:42:00,17:50:00
18:02:00,18:05:00,18:12:00,18:20:00
18:32:00,18:35:00,--,--
